id,name,cuisine_type,price_range,dietary_requirements,hpb_certified_items,hpb_certification_reason,avg_calorie_count
84,A-ONE Claypot House - Suntect City Mall,Local,5-10,Regular,"Steamed Fish (HK-styled), Herbal Steam Claypot Soup, Porridge","Lower in calories, Healthier Oils",700
23,Da Paolo Gastronomia - Raffles City,Local,5-10,Regular,"Chicken & Baby Spinach Panini, Pomodoro e Basilico Pasta",Lower in calories,600
5,McDonald's - North Bridge Road,Fast Food,5-10,Halal,"Sausage McMuffin Meal, Egg McMuffin Meal, Filet-O-Fish Meal, Cheeseburger Meal with Drinking Water, Grilled Chicken Salad Meal with Drinking Water, Grilled Chicken McWrap Meal with Drinking Water","Lower in calories, higher in wholegrain",700
7,Din Tai Fung - Manulife Centre,Local,5-10,Regular,"Steamed Vegetarian Dumplings, Stir-Fried Dou Miao, Steamed Chicken Soup with Noodle","Lower in calories, Healthier Oils",600
8,Subway - SMU,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",500
16,Din Tai Fung - Raffles City Shopping Centre,Local,5-10,Regular,"Steamed Vegetarian Dumplings, Stir-Fried Dou Miao, Steamed Chicken Soup with Noodle","Lower in calories, Healthier Oils",600
10,WOK HEY Raffles City,Fast Food,5-10,"Halal, Vegetarian options available","Egg Fried Rice, Shanghai Fried Rice, Fresh Ramen, Fresh Udon","Lower in calories, Higher in wholegrain",750
11,McDonald's - Raffles City Shopping Centre,Fast Food,5-10,Halal,"Sausage McMuffin Meal, Egg McMuffin Meal, Filet-O-Fish Meal, Cheeseburger Meal with Drinking Water, Grilled Chicken Salad Meal with Drinking Water, Grilled Chicken McWrap Meal with Drinking Water","Lower in calories, higher in wholegrain",700
87,Din Tai Fung - Suntec City,Local,5-10,Regular,"Steamed Vegetarian Dumplings, Stir-Fried Dou Miao, Steamed Chicken Soup with Noodle","Lower in calories, Healthier Oils",600
40,Each-a-Cup - POMO,Local,5-10,Regular,"Black Tea, Oolong Green Tea, Jasmine Green Tea","Lower in calories, Lower in Sugar",200
14,Stuff'd - Raffles City Shopping Centre,Fast Food,5-10,"Halal, Vegetarian options available","Chicken Daily Bowl, Veggie Burrito, Chicken Burrito","No added MSG, Healthier oils, Lower in calories, Higher in wholegrain",600
15,Subway - Raffles City Shopping Centre,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",500
77,Each-a-Cup - Wilkie Edge,Local,5-10,Regular,"Black Tea, Oolong Green Tea, Jasmine Green Tea","Lower in calories, Lower in Sugar",200
29,Fish & Co - Bugis +,Local,5-10,Regular,"Caesar Salad with Grilled Chicken, Shrimp & Clams Aglio Olio","Lower in calories, Healthier Oils",600
